date,description,amount
2023-05-15,Ride Sharing,-18.50
2023-05-16,Salary Payment,5000.00
2023-05-17,Groceries Store,-150.75
2023-05-18,Electricity Bill,-120.40
2023-05-19,Dining Out,-60.20
2023-05-20,Ride Sharing,-18.50
2023-05-21,Salary Payment,5000.00
2023-05-22,Groceries Store,-150.75
2023-05-23,Electricity Bill,-120.40
2023-05-24,Dining Out,-60.20
2023-05-25,Ride Sharing,-18.50
2023-05-26,Salary Payment,5000.00
2023-05-27,Groceries Store,-150.75
2023-05-28,Electricity Bill,-120.40
2023-05-29,Dining Out,-60.20
2023-05-30,Ride Sharing,-18.50
2023-05-31,Salary Payment,5000.00
2023-06-01,Groceries Store,-150.75
2023-06-02,Electricity Bill,-120.40
2023-06-03,Dining Out,-60.20
2023-06-04,Ride Sharing,-18.50
2023-06-05,Salary Payment,5000.00
2023-06-06,Groceries Store,-150.75
2023-06-07,Electricity Bill,-120.40
2023-06-08,Dining Out,-60.20
2023-06-09,Ride Sharing,-18.50
2023-06-10,Salary Payment,5000.00
2023-06-11,Groceries Store,-150.75
2023-06-12,Electricity Bill,-120.40
2023-06-13,Dining Out,-60.20
2023-06-14,Ride Sharing,-18.50
2023-06-15,Salary Payment,5000.00
2023-06-16,Groceries Store,-150.75
2023-06-17,Electricity Bill,-120.40
2023-06-18,Dining Out,-60.20
2023-06-19,Ride Sharing,-18.50
2023-06-20,Salary Payment,5000.00
2023-06-21,Groceries Store,-150.75
2023-06-22,Electricity Bill,-120.40
2023-06-23,Dining Out,-60.20
2023-06-24,Ride Sharing,-18.50
2023-06-25,Salary Payment,5000.00
2023-06-26,Groceries Store,-150.75
2023-06-27,Electricity Bill,-120.40
2023-06-28,Dining Out,-60.20
2023-06-29,Ride Sharing,-18.50
2023-06-30,Salary Payment,5000.00
2023-07-01,Groceries Store,-150.75
2023-07-02,Electricity Bill,-120.40
2023-07-03,Dining Out,-60.20
2023-07-04,Ride Sharing,-18.50
2023-07-05,Salary Payment,5000.00
2023-07-06,Groceries Store,-150.75
2023-07-07,Electricity Bill,-120.40
2023-07-08,Dining Out,-60.20
2023-07-09,Ride Sharing,-18.50
2023-07-10,Salary Payment,5000.00
2023-07-11,Groceries Store,-150.75
2023-07-12,Electricity Bill,-120.40
2023-07-13,Dining Out,-60.20
2023-07-14,Ride Sharing,-18.50
2023-07-15,Salary Payment,5000.00
2023-07-16,Groceries Store,-150.75
2023-07-17,Electricity Bill,-120.40
2023-07-18,Dining Out,-60.20
2023-07-19,Ride Sharing,-18.50
2023-07-20,Salary Payment,5000.00
2023-07-21,Groceries Store,-150.75
2023-07-22,Electricity Bill,-120.40
2023-07-23,Dining Out,-60.20
2023-07-24,Ride Sharing,-18.50
2023-07-25,Salary Payment,5000.00
2023-07-26,Groceries Store,-150.75
2023-07-27,Electricity Bill,-120.40
2023-07-28,Dining Out,-60.20
2023-07-29,Ride Sharing,-18.50
2023-07-30,Salary Payment,5000.00
2023-07-31,Groceries Store,-150.75
2023-08-01,Electricity Bill,-120.40
2023-08-02,Dining Out,-60.20
2023-08-03,Ride Sharing,-18.50
2023-08-04,Salary Payment,5000.00
2023-08-05,Groceries Store,-150.75
2023-08-06,Electricity Bill,-120.40
2023-08-07,Dining Out,-60.20
2023-08-08,Ride Sharing,-18.50
2023-08-09,Salary Payment,5000.00
2023-08-10,Groceries Store,-150.75
2023-08-11,Electricity Bill,-120.40
2023-08-12,Dining Out,-60.20
2023-08-13,Ride Sharing,-18.50
2023-08-14,Salary Payment,5000.00
2023-08-15,Groceries Store,-150.75
2023-08-16,Electricity Bill,-120.40
2023-08-17,Dining Out,-60.20
2023-08-18,Ride Sharing,-18.50
2023-08-19,Salary Payment,5000.00
2023-08-20,Groceries Store,-150.75
2023-08-21,Electricity Bill,-120.40
2023-08-22,Dining Out,-60.20
2023-08-23,Ride Sharing,-18.50
2023-08-24,Salary Payment,5000.00
2023-08-25,Groceries Store,-150.75
2023-08-26,Electricity Bill,-120.40
2023-08-27,Dining Out,-60.20
2023-08-28,Ride Sharing,-18.50
2023-08-29,Salary Payment,5000.00
2023-08-30,Groceries Store,-150.75
2023-08-31,Electricity Bill,-120.40
2023-09-01,Dining Out,-60.20
2023-09-02,Ride Sharing,-18.50
2023-09-03,Salary Payment,5000.00
2023-09-04,Groceries Store,-150.75
2023-09-05,Electricity Bill,-120.40
2023-09-06,Dining Out,-60.20
2023-09-07,Ride Sharing,-18.50
2023-09-08,Salary Payment,5000.00
2023-09-09,Groceries Store,-150.75
2023-09-10,Electricity Bill,-120.40
2023-09-11,Dining Out,-60.20
2023-09-12,Ride Sharing,-18.50
2023-09-13,Salary Payment,5000.00
2023-09-14,Groceries Store,-150.75
2023-09-15,Electricity Bill,-120.40
2023-09-16,Dining Out,-60.20
2023-09-17,Ride Sharing,-18.50
2023-09-18,Salary Payment,5000.00
2023-09-19,Groceries Store,-150.75
2023-09-20,Electricity Bill,-120.40
2023-09-21,Dining Out,-60.20
2023-09-22,Ride Sharing,-18.50
2023-09-23,Salary Payment,5000.00
2023-09-24,Groceries Store,-150.75
2023-09-25,Electricity Bill,-120.40
2023-09-26,Dining Out,-60.20
2023-09-27,Ride Sharing,-18.50
2023-09-28,Salary Payment,5000.00
2023-09-29,Groceries Store,-150.75
2023-09-30,Electricity Bill,-120.40
2023-10-01,Dining Out,-60.20
2023-10-02,Ride Sharing,-18.50
2023-10-03,Salary Payment,5000.00
2023-10-04,Groceries Store,-150.75
2023-10-05,Electricity Bill,-120.40
2023-10-06,Dining Out,-60.20
2023-10-07,Ride Sharing,-18.50
2023-10-08,Salary Payment,5000.00
2023-10-09,Groceries Store,-150.75
2023-10-10,Electricity Bill,-120.40
2023-10-11,Dining Out,-60.20
2023-10-12,Ride Sharing,-18.50
2023-10-13,Salary Payment,5000.00
2023-10-14,Groceries Store,-150.75
2023-10-15,Electricity Bill,-120.40
2023-10-16,Dining Out,-60.20
2023-10-17,Ride Sharing,-18.50
2023-10-18,Salary Payment,5000.00
2023-10-19,Groceries Store,-150.75
2023-10-20,Electricity Bill,-120.40
2023-10-21,Dining Out,-60.20
2023-10-22,Ride Sharing,-18.50
2023-10-23,Salary Payment,5000.00
2023-10-24,Groceries Store,-150.75
2023-10-25,Electricity Bill,-120.40
2023-10-26,Dining Out,-60.20
2023-10-27,Ride Sharing,-18.50
2023-10-28,Salary Payment,5000.00
2023-10-29,Groceries Store,-150.75
2023-10-30,Electricity Bill,-120.40
2023-10-31,Dining Out,-60.20
2023-11-01,Ride Sharing,-18.50
2023-11-02,Salary Payment,5000.00
2023-11-03,Groceries Store,-150.75
2023-11-04,Electricity Bill,-120.40
2023-11-05,Dining Out,-60.20
2023-11-06,Ride Sharing,-18.50
2023-11-07,Salary Payment,5000.00
2023-11-08,Groceries Store,-150.75
2023-11-09,Electricity Bill,-120.40
2023-11-10,Dining Out,-60.20
2023-11-11,Ride Sharing,-18.50
2023-11-12,Salary Payment,5000.00
2023-11-13,Groceries Store,-150.75
2023-11-14,Electricity Bill,-120.40
2023-11-15,Dining Out,-60.20
2023-11-16,Ride Sharing,-18.50
2023-11-17,Salary Payment,5000.00
2023-11-18,Groceries Store,-150.75
2023-11-19,Electricity Bill,-120.40
2023-11-20,Dining Out,-60.20
2023-11-21,Ride Sharing,-18.50
2023-11-22,Salary Payment,5000.00
2023-11-23,Groceries Store,-150.75
2023-11-24,Electricity Bill,-120.40
2023-11-25,Dining Out,-60.20
2023-11-26,Ride Sharing,-18.50
2023-11-27,Salary Payment,5000.00
2023-11-28,Groceries Store,-150.75
2023-11-29,Electricity Bill,-120.40
2023-11-30,Dining Out,-60.20
2023-12-01,Ride Sharing,-18.50
2023-12-02,Salary Payment,5000.00
2023-12-03,Groceries Store,-150.75
2023-12-04,Electricity Bill,-120.40
2023-12-05,Dining Out,-60.20
2023-12-06,Ride Sharing,-18.50
2023-12-07,Salary Payment,5000.00
2023-12-08,Groceries Store,-150.75
2023-12-09,Electricity Bill,-120.40
2023-12-10,Dining Out,-60.20
2023-12-11,Ride Sharing,-18.50
2023-12-12,Salary Payment,5000.00
2023-12-13,Groceries Store,-150.75
2023-12-14,Electricity Bill,-120.40
2023-12-15,Dining Out,-60.20
2023-12-16,Ride Sharing,-18.50
2023-12-17,Salary Payment,5000.00
2023-12-18,Groceries Store,-150.75
2023-12-19,Electricity Bill,-120.40
2023-12-20,Dining Out,-60.20
2023-12-21,Ride Sharing,-18.50
2023-12-22,Salary Payment,5000.00
2023-12-23,Groceries Store,-150.75
2023-12-24,Electricity Bill,-120.40
2023-12-25,Dining Out,-60.20
2023-12-26,Ride Sharing,-18.50
2023-12-27,Salary Payment,5000.00
2023-12-28,Groceries Store,-150.75
2023-12-29,Electricity Bill,-120.40
2023-12-30,Dining Out,-60.20
2023-12-31,Ride Sharing,-18.50
2023-01-01,Salary Payment,5000.00
2023-01-02,Groceries Store,-150.75
2023-01-03,Electricity Bill,-120.40
2023-01-04,Dining Out,-60.20
2023-01-05,Ride Sharing,-18.50
2023-01-06,Salary Payment,5000.00
2023-01-07,Groceries Store,-150.75
2023-01-08,Electricity Bill,-120.40
2023-01-09,Dining Out,-60.20
2023-01-10,Ride Sharing,-18.50
2023-01-11,Salary Payment,5000.00
2023-01-12,Groceries Store,-150.75
2023-01-13,Electricity Bill,-120.40
2023-01-14,Dining Out,-60.20
2023-01-15,Ride Sharing,-18.50
2023-01-16,Salary Payment,5000.00
2023-01-17,Groceries Store,-150.75
2023-01-18,Electricity Bill,-120.40
2023-01-19,Dining Out,-60.20
2023-01-20,Ride Sharing,-18.50
2023-01-21,Salary Payment,5000.00
2023-01-22,Groceries Store,-150.75
2023-01-23,Electricity Bill,-120.40
2023-01-24,Dining Out,-60.20
2023-01-25,Ride Sharing,-18.50
2023-01-26,Salary Payment,5000.00
2023-01-27,Groceries Store,-150.75
2023-01-28,Electricity Bill,-120.40
2023-01-29,Dining Out,-60.20
2023-01-30,Ride Sharing,-18.50
2023-01-31,Salary Payment,5000.00
2023-02-01,Groceries Store,-150.75
2023-02-02,Electricity Bill,-120.40
2023-02-03,Dining Out,-60.20
2023-02-04,Ride Sharing,-18.50
2023-02-05,Salary Payment,5000.00
2023-02-06,Groceries Store,-150.75
2023-02-07,Electricity Bill,-120.40
2023-02-08,Dining Out,-60.20
2023-02-09,Ride Sharing,-18.50
2023-02-10,Salary Payment,5000.00
2023-02-11,Groceries Store,-150.75
2023-02-12,Electricity Bill,-120.40
2023-02-13,Dining Out,-60.20
2023-02-14,Ride Sharing,-18.50
2023-02-15,Salary Payment,5000.00
2023-02-16,Groceries Store,-150.75
2023-02-17,Electricity Bill,-120.40
2023-02-18,Dining Out,-60.20
2023-02-19,Ride Sharing,-18.50
2023-02-20,Salary Payment,5000.00
2023-02-21,Groceries Store,-150.75
2023-02-22,Electricity Bill,-120.40
2023-02-23,Dining Out,-60.20
2023-02-24,Ride Sharing,-18.50
2023-02-25,Salary Payment,5000.00
2023-02-26,Groceries Store,-150.75
2023-02-27,Electricity Bill,-120.40
2023-02-28,Dining Out,-60.20
2023-03-01,Ride Sharing,-18.50
2023-03-02,Salary Payment,5000.00
2023-03-03,Groceries Store,-150.75
2023-03-04,Electricity Bill,-120.40
2023-03-05,Dining Out,-60.20
2023-03-06,Ride Sharing,-18.50
2023-03-07,Salary Payment,5000.00
2023-03-08,Groceries Store,-150.75
2023-03-09,Electricity Bill,-120.40
2023-03-10,Dining Out,-60.20
2023-03-11,Ride Sharing,-18.50
2023-03-12,Salary Payment,5000.00
2023-03-13,Groceries Store,-150.75
2023-03-14,Electricity Bill,-120.40
2023-03-15,Dining Out,-60.20
2023-03-16,Ride Sharing,-18.50
2023-03-17,Salary Payment,5000.00
2023-03-18,Groceries Store,-150.75
2023-03-19,Electricity Bill,-120.40
2023-03-20,Dining Out,-60.20
2023-03-21,Ride Sharing,-18.50
2023-03-22,Salary Payment,5000.00
2023-03-23,Groceries Store,-150.75
2023-03-24,Electricity Bill,-120.40
2023-03-25,Dining Out,-60.20
2023-03-26,Ride Sharing,-18.50
2023-03-27,Salary Payment,5000.00
2023-03-28,Groceries Store,-150.75
2023-03-29,Electricity Bill,-120.40
2023-03-30,Dining Out,-60.20
2023-03-31,Ride Sharing,-18.50
2023-04-01,Salary Payment,5000.00
2023-04-02,Groceries Store,-150.75
2023-04-03,Electricity Bill,-120.40
2023-04-04,Dining Out,-60.20
2023-04-05,Ride Sharing,-18.50
2023-04-06,Salary Payment,5000.00
2023-04-07,Groceries Store,-150.75
2023-04-08,Electricity Bill,-120.40
2023-04-09,Dining Out,-60.20
2023-04-10,Ride Sharing,-18.50
2023-04-11,Salary Payment,5000.00
2023-04-12,Groceries Store,-150.75
2023-04-13,Electricity Bill,-120.40
2023-04-14,Dining Out,-60.20
2023-04-15,Ride Sharing,-18.50
2023-04-16,Salary Payment,5000.00
2023-04-17,Groceries Store,-150.75
2023-04-18,Electricity Bill,-120.40
2023-04-19,Dining Out,-60.20
2023-04-20,Ride Sharing,-18.50
2023-04-21,Salary Payment,5000.00
2023-04-22,Groceries Store,-150.75
2023-04-23,Electricity Bill,-120.40
2023-04-24,Dining Out,-60.20
2023-04-25,Ride Sharing,-18.50
2023-04-26,Salary Payment,5000.00
2023-04-27,Groceries Store,-150.75
2023-04-28,Electricity Bill,-120.40
2023-04-29,Dining Out,-60.20
2023-04-30,Ride Sharing,-18.50
2023-05-01,Salary Payment,5000.00
2023-05-02,Groceries Store,-150.75
2023-05-03,Electricity Bill,-120.40
2023-05-04,Dining Out,-60.20
2023-05-05,Ride Sharing,-18.50
2023-05-06,Salary Payment,5000.00
2023-05-07,Groceries Store,-150.75
2023-05-08,Electricity Bill,-120.40
2023-05-09,Dining Out,-60.20
2023-05-10,Ride Sharing,-18.50
2023-05-11,Salary Payment,5000.00
2023-05-12,Groceries Store,-150.75
2023-05-13,Electricity Bill,-120.40
2023-05-14,Dining Out,-60.20
2023-05-15,Ride Sharing,-18.50
2023-05-16,Salary Payment,5000.00
2023-05-17,Groceries Store,-150.75
2023-05-18,Electricity Bill,-120.40
2023-05-19,Dining Out,-60.20
2023-05-20,Ride Sharing,-18.50
2023-05-21,Salary Payment,5000.00
2023-05-22,Groceries Store,-150.75
2023-05-23,Electricity Bill,-120.40
2023-05-24,Dining Out,-60.20
2023-05-25,Ride Sharing,-18.50
2023-05-26,Salary Payment,5000.00
2023-05-27,Groceries Store,-150.75
2023-05-28,Electricity Bill,-120.40
2023-05-29,Dining Out,-60.20
2023-05-30,Ride Sharing,-18.50
2023-05-31,Salary Payment,5000.00
2023-06-01,Groceries Store,-150.75
2023-06-02,Electricity Bill,-120.40
2023-06-03,Dining Out,-60.20
2023-06-04,Ride Sharing,-18.50
2023-06-05,Salary Payment,5000.00
2023-06-06,Groceries Store,-150.75
2023-06-07,Electricity Bill,-120.40
2023-06-08,Dining Out,-60.20
2023-06-09,Ride Sharing,-18.50
2023-06-10,Salary Payment,5000.00
2023-06-11,Groceries Store,-150.75
2023-06-12,Electricity Bill,-120.40
2023-06-13,Dining Out,-60.20
2023-06-14,Ride Sharing,-18.50
2023-06-15,Salary Payment,5000.00
2023-06-16,Groceries Store,-150.75
2023-06-17,Electricity Bill,-120.40
2023-06-18,Dining Out,-60.20
2023-06-19,Ride Sharing,-18.50
2023-06-20,Salary Payment,5000.00
2023-06-21,Groceries Store,-150.75
2023-06-22,Electricity Bill,-120.40
2023-06-23,Dining Out,-60.20
2023-06-24,Ride Sharing,-18.50
2023-06-25,Salary Payment,5000.00
2023-06-26,Groceries Store,-150.75
2023-06-27,Electricity Bill,-120.40
2023-06-28,Dining Out,-60.20
2023-06-29,Ride Sharing,-18.50
2023-06-30,Salary Payment,5000.00
2023-07-01,Groceries Store,-150.75
2023-07-02,Electricity Bill,-120.40
2023-07-03,Dining Out,-60.20
2023-07-04,Ride Sharing,-18.50
2023-07-05,Salary Payment,5000.00
2023-07-06,Groceries Store,-150.75
2023-07-07,Electricity Bill,-120.40
2023-07-08,Dining Out,-60.20
2023-07-09,Ride Sharing,-18.50
2023-07-10,Salary Payment,5000.00
2023-07-11,Groceries Store,-150.75
2023-07-12,Electricity Bill,-120.40
2023-07-13,Dining Out,-60.20
2023-07-14,Ride Sharing,-18.50
2023-07-15,Salary Payment,5000.00
2023-07-16,Groceries Store,-150.75
2023-07-17,Electricity Bill,-120.40
2023-07-18,Dining Out,-60.20
2023-07-19,Ride Sharing,-18.50
2023-07-20,Salary Payment,5000.00
2023-07-21,Groceries Store,-150.75
2023-07-22,Electricity Bill,-120.40
2023-07-23,Dining Out,-60.20
2023-07-24,Ride Sharing,-18.50
2023-07-25,Salary Payment,5000.00
2023-07-26,Groceries Store,-150.75
2023-07-27,Electricity Bill,-120.40
2023-07-28,Dining Out,-60.20
2023-07-29,Ride Sharing,-18.50
2023-07-30,Salary Payment,5000.00
2023-07-31,Groceries Store,-150.75
2023-08-01,Electricity Bill,-120.40
2023-08-02,Dining Out,-60.20
2023-08-03,Ride Sharing,-18.50
2023-08-04,Salary Payment,5000.00
2023-08-05,Groceries Store,-150.75
2023-08-06,Electricity Bill,-120.40
2023-08-07,Dining Out,-60.20
2023-08-08,Ride Sharing,-18.50
2023-08-09,Salary Payment,5000.00
2023-08-10,Groceries Store,-150.75
2023-08-11,Electricity Bill,-120.40
2023-08-12,Dining Out,-60.20
2023-08-13,Ride Sharing,-18.50
2023-08-14,Salary Payment,5000.00
2023-08-15,Groceries Store,-150.75
2023-08-16,Electricity Bill,-120.40
2023-08-17,Dining Out,-60.20
2023-08-18,Ride Sharing,-18.50
2023-08-19,Salary Payment,5000.00
2023-08-20,Groceries Store,-150.75
2023-08-21,Electricity Bill,-120.40
2023-08-22,Dining Out,-60.20
2023-08-23,Ride Sharing,-18.50
2023-08-24,Salary Payment,5000.00
2023-08-25,Groceries Store,-150.75
2023-08-26,Electricity Bill,-120.40
2023-08-27,Dining Out,-60.20
2023-08-28,Ride Sharing,-18.50
2023-08-29,Salary Payment,5000.00
2023-08-30,Groceries Store,-150.75
2023-08-31,Electricity Bill,-120.40
2023-09-01,Dining Out,-60.20
2023-09-02,Ride Sharing,-18.50
2023-09-03,Salary Payment,5000.00
2023-09-04,Groceries Store,-150.75
2023-09-05,Electricity Bill,-120.40
2023-09-06,Dining Out,-60.20
2023-09-07,Ride Sharing,-18.50
2023-09-08,Salary Payment,5000.00
2023-09-09,Groceries Store,-150.75
2023-09-10,Electricity Bill,-120.40
2023-09-11,Dining Out,-60.20
2023-09-12,Ride Sharing,-18.50
2023-09-13,Salary Payment,5000.00
2023-09-14,Groceries Store,-150.75
2023-09-15,Electricity Bill,-120.40
2023-09-16,Dining Out,-60.20
2023-09-17,Ride Sharing,-18.50
2023-09-18,Salary Payment,5000.00
2023-09-19,Groceries Store,-150.75
2023-09-20,Electricity Bill,-120.40
2023-09-21,Dining Out,-60.20
2023-09-22,Ride Sharing,-18.50
2023-09-23,Salary Payment,5000.00
2023-09-24,Groceries Store,-150.75
2023-09-25,Electricity Bill,-120.40
2023-09-26,Dining Out,-60.20
2023-09-27,Ride Sharing,-18.50
